Element,Wavelength,Intensity,Strength,On,Reference
Ne I,6678.2762,50,,True,SS04
Ne I,6717.043,7,,True,SS04
Ne I,6929.4673,1000,P,True,SS04
Ne I,7024.0504,300,,True,SS04
Ne I,7032.4131,800,P,True,SS04
Ne I,7051.2923,20,,True,SS04
Ne I,7059.1074,100,,True,SS04
Ne I,7173.9381,800,P,True,SS04
Ne II,7213.2,150,,True,P71
Ne II,7235.188,150,,True,P71
Ne I,7245.1666,800,P,True,SS04
Ne II,7343.945,150,,True,P71
Ne I,7472.4386,30,,True,SS04
Ne I,7488.8712,300,,True,SS04
Ne II,7492.102,100,,True,P71
Ne II,7522.818,150,,True,P71
Ne I,7535.7741,300,,True,SS04
Ne I,7544.0443,130,,True,SS04
Ne I,7724.6233,1,,True,SS04
Ne II,7740.738,120,,True,P71
Ne I,7839.0529,2,,True,SS04
Ne II,7926.201,120,,True,P71
Ne I,7927.1177,3,,True,SS04
Ne I,7936.9961,13,,True,SS04
Ne I,7943.1814,80,,True,SS04
Ne I,8082.458,60,,True,SS04
Ne II,8084.345,100,,True,P71
Ne I,8118.5492,40,,True,SS04
Ne I,8128.9108,12,,True,SS04
Ne I,8136.4054,170,,True,SS04
Ne I,8259.379,30,,True,SS04
Ne II,8264.807,100,,True,P71
Ne I,8266.0772,70,,True,SS04
Ne I,8267.1162,10,,True,SS04
Ne I,8300.3258,300,,True,SS04
Ne II,8314.995,100,,True,P71
Ne I,8365.7466,50,,True,SS04
Ne II,8372.106,100,,True,P71
Ne I,8377.608,800,P,True,SS04
Ne I,8417.1606,30,,True,SS04
Ne I,8418.4274,250,,True,SS04
Ne I,8463.3575,40,,True,SS04
Ne I,8484.4435,13,,True,SS04
Ne I,8495.3598,700,,True,SS04
Ne I,8544.6958,15,,True,SS04
Ne I,8571.3524,30,,True,SS04
Ne I,8591.2584,400,,True,SS04
Ne I,8634.647,350,,True,SS04
Ne I,8647.0411,60,,True,SS04
Ne I,8654.3831,600,P,True,SS04
Ne I,8655.522,80,,True,SS04
Ne II,8668.256,100,,True,P71
Ne I,8679.4925,130,,True,SS04
Ne I,8681.9211,150,,True,SS04
Ne I,8704.1116,30,,True,SS04
Ne I,8771.6563,100,,True,SS04
Ne I,8780.6226,600,P,True,SS04
Ne I,8783.7533,400,P,True,SS04
Ne I,8830.9072,6,,True,SS04
Ne I,8853.8668,300,,True,SS04
Ne I,8865.3063,20,,True,SS04
Ne I,8865.7552,150,,True,SS04
Ne I,8919.5006,60,,True,SS04
Ne I,8988.5564,20,,True,SS04
Ne II,9079.462,100,,True,P71
Ne I,9148.6716,120,,True,SS04
Ne I,9201.7591,90,,True,SS04
Ne I,9220.0601,60,,True,SS04
Ne I,9221.5801,20,,True,SS04
Ne I,9226.6903,20,,True,SS04
Ne I,9275.5196,9,,True,SS04
Ne II,9287.563,200,,True,P71
Ne I,9300.8527,80,,True,SS04
Ne I,9310.5839,8,,True,SS04
Ne I,9313.9726,30,,True,SS04
Ne I,9326.5068,70,,True,SS04
Ne I,9373.3078,15,,True,SS04
Ne I,9425.3788,50,,True,SS04
Ne I,9459.2095,30,,True,SS04
Ne I,9486.6818,50,,True,SS04
Ne I,9534.1629,60,,True,SS04
Ne I,9547.4049,30,,True,SS04
Ne II,9577.013,120,,True,P71
Ne I,9665.4197,180,,True,SS04
Ne II,9808.86,100,,True,P71
Ne I,10295.4174,4,,True,SS04
Ne I,10562.4075,80,,True,SS04
Ne I,10798.0429,60,,True,SS04
Ne I,10844.4772,90,,True,SS04
Ne I,11143.02,300,P,True,SS04
Ne I,11177.524,500,P,True,SS04
Ne I,11390.4339,150,,True,SS04
Ne I,11409.1343,90,,True,SS04
Ne I,11522.7459,300,P,True,SS04
Ne I,11525.0194,150,,True,SS04
Ne I,11536.3445,90,,True,SS04
Ne I,11601.5366,30,,True,SS04
Ne I,11614.0807,130,,True,SS04
Ne I,11688.0017,30,,True,SS04
Ne I,11766.7924,150,,True,SS04
Ne I,11789.0435,130,,True,SS04
Ne I,11789.8891,30,,True,SS04
Ne I,11984.912,70,,True,SS04
Ne I,12066.334,200,,True,SS04
Ne I,12459.389,40,,True,SS04
Ne I,12689.201,60,,True,SS04
Ne I,12912.014,80,,True,SS04
Ne I,13219.241,40,,True,SS04
Ne I,15230.714,50,,True,SS04
Ne I,17161.929,20,,True,SS04
Ne I,18035.812,20,,True,SS04
Ne I,18083.181,40,,True,SS04
Ne I,18083.263,9,,True,SS04
Ne I,18221.087,15,,True,SS04
Ne I,18227.016,13,,True,SS04
Ne I,18276.642,140,,True,SS04
Ne I,18282.614,100,,True,SS04
Ne I,18303.967,70,,True,SS04
Ne I,18359.094,20,,True,SS04
Ne I,18384.826,60,,True,SS04
Ne I,18389.937,90,,True,SS04
Ne I,18402.836,40,,True,SS04
Ne I,18422.402,60,,True,SS04
Ne I,18458.64,13,,True,SS04
Ne I,18475.8,40,,True,SS04
Ne I,18591.541,70,,True,SS04
Ne I,18597.698,100,,True,SS04
Ne I,18618.908,16,,True,SS04
Ne I,18625.159,20,,True,SS04
Ne I,21041.27,30,,True,SS04
Ne I,21708.11,30,,True,SS04
Ne I,22247.36,13,,True,SS04
Ne I,22428.14,13,,True,SS04
Ne I,22530.38,80,,True,SS04
Ne I,22661.79,13,,True,SS04
Ne I,23100.48,25,,True,SS04
Ne I,23260.27,40,,True,SS04
Ne I,23372.96,50,,True,SS04
Ne I,23565.33,30,,True,SS04
Ne I,23636.48,170,,True,SS04
Ne I,23701.66,12,,True,SS04
Ne I,23709.13,60,,True,SS04
